Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
F 62-2,-12.87,12.77,-8.68,3.31,122,22,107,Historic,0,young adult 18-25,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
10: Feature 64-1,-16.2,9.6,,,,,115,Historic,0,,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
11: Feature 64-4,-14.6,10.8,,,,,115,Historic,0,,M,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
9: Feature 63,-13.6,10.9,,,,,115,Historic,0,,M,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
6: Feature 62-2,-11.7,11.3,,,,,115,Historic,0,,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
F 63-1,-13.69,12.65,-4.43,3.57,162,24,175,Historic,0,young adult 25-35,U,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
F 64-4,-13.09,12.06,-6.41,3.4,215,21,180,Historic,0,young adult 18-20,M,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
F 64-1,-15.54,10.89,-11.17,3.39,225,23,196,Historic,0,older child 6-10,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
Fea 92-2,-15.7,10.4,-10.4,3.2,,,210,Historic,0,40-50,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
B10A (1948),-16.46,13.01,-14.04,3.26,252,25,297,Historic,0,,U,41HG1,Coast,TCP,26.4294878,-98.2039096,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
7: Feature 61,-15.7,9.8,,,,,300,Historic,0,,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
Fea 61a,-15.02,11.27,-7.87,3.36,256,24,300,Historic,0,adult 25-35,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
5: Feature 30,-14.7,10.6,,,,,300,Historic,0,,F,Mitchell Ridge (41GV66),Coast,TCP,28.964339,-95.5074928,collagen,bone,Huebner 1994,
